Time,Source,Destination,Protocol,Length
1775492781.8458552,192.168.31.42,20.189.173.25,6,1336
1775492781.8508546,192.168.31.42,20.189.173.25,6,1336
1775492781.855858,192.168.31.42,20.189.173.25,6,1336
1775492781.8678539,192.168.31.42,20.189.173.25,6,1336
1775492781.880147,192.168.31.42,20.189.173.25,6,1336
1775492781.8867853,192.168.31.42,20.189.173.25,6,1336
1775492781.8887873,192.168.31.42,20.189.173.25,6,1336
1775492781.8943193,192.168.31.42,20.189.173.25,6,1336
1775492781.8940778,192.168.31.42,20.189.173.25,6,1336
1775492781.8955538,192.168.31.42,20.189.173.25,6,1336
1775492781.9033473,192.168.31.42,20.189.173.25,6,1336
1775492781.9053502,192.168.31.42,20.189.173.25,6,1336
1775492781.9083498,192.168.31.42,20.189.173.25,6,496
1775492781.9093494,192.168.31.42,20.189.173.25,6,1336
1775492781.9133475,192.168.31.42,20.189.173.25,6,496
1775492781.9534247,192.168.31.42,224.0.0.22,2,54
1775492781.9594243,192.168.31.42,148.113.9.41,6,55
1775492781.9594243,192.168.31.42,148.113.9.41,6,55
1775492781.9644294,148.113.9.41,192.168.31.42,6,54
1775492781.96913,192.168.31.42,148.113.9.41,6,54
1775492781.9741333,148.113.9.41,192.168.31.42,6,66
1775492781.9791346,20.189.173.25,192.168.31.42,6,54
1775492781.9731324,192.168.31.42,148.113.9.41,6,54
1775492781.9831343,20.189.173.25,192.168.31.42,6,54
1775492782.0024307,20.189.173.25,192.168.31.42,6,54
1775492781.9987278,148.113.9.41,192.168.31.42,6,66
1775492782.0330791,20.189.173.25,192.168.31.42,6,54
1775492782.0357628,20.189.173.25,192.168.31.42,6,54
1775492782.042766,20.189.173.25,192.168.31.42,6,54
1775492782.0497682,20.189.173.25,192.168.31.42,6,54
1775492782.0467703,20.189.173.25,192.168.31.42,6,54
1775492782.0594602,20.189.173.25,192.168.31.42,6,54
1775492782.0624638,20.189.173.25,192.168.31.42,6,54
1775492782.0654643,20.189.173.25,192.168.31.42,6,149
1775492782.1710105,192.168.31.42,20.189.173.25,6,89
1775492782.1710105,192.168.31.42,224.0.0.22,2,54
1775492782.1710105,20.189.173.25,192.168.31.42,6,54
1775492782.1710105,20.189.173.25,192.168.31.42,6,54
1775492782.1710105,20.189.173.25,192.168.31.42,6,54
1775492782.189642,20.189.173.25,192.168.31.42,6,149
1775492782.1913707,192.168.31.42,20.189.173.25,6,89
1775492782.1913707,192.168.31.42,224.0.0.22,2,54
1775492782.2063127,20.189.173.25,192.168.31.42,6,54
1775492783.2214525,216.24.57.251,192.168.31.42,6,79
1775492783.2214525,216.24.57.251,192.168.31.42,6,79
1775492783.2214525,192.168.31.42,216.24.57.251,6,83
1775492783.2214525,192.168.31.42,216.24.57.251,6,83
1775492783.2706773,216.24.57.251,192.168.31.42,6,54
1775492783.3430755,192.168.31.124,255.255.255.255,17,262
1775492783.3430755,192.168.31.124,255.255.255.255,17,262
1775492784.0742643,192.168.31.42,20.189.173.25,6,167
1775492784.0752664,192.168.31.42,20.189.173.25,6,167
1775492784.0768187,192.168.31.42,20.189.173.25,6,1336
1775492784.0768187,192.168.31.42,20.189.173.25,6,1336
1775492784.0862017,192.168.31.42,20.189.173.25,6,1336
1775492784.0862017,192.168.31.42,20.189.173.25,6,1336
1775492784.0901852,192.168.31.42,20.189.173.25,6,1336
1775492784.0911868,192.168.31.42,20.189.173.25,6,1336
1775492784.0941842,192.168.31.42,20.189.173.25,6,1336
1775492784.0971882,192.168.31.42,20.189.173.25,6,1336
1775492784.099186,192.168.31.42,20.189.173.25,6,1336
1775492784.102143,192.168.31.42,20.189.173.25,6,1336
1775492784.1041467,192.168.31.42,20.189.173.25,6,1336
1775492784.107149,192.168.31.42,20.189.173.25,6,1336
1775492784.1086938,192.168.31.42,20.189.173.25,6,1336
1775492784.1086938,192.168.31.42,20.189.173.25,6,1336
1775492784.1195152,192.168.31.42,20.189.173.25,6,690
1775492784.120504,192.168.31.42,20.189.173.25,6,690
1775492784.3219674,20.189.173.25,192.168.31.42,6,54
1775492784.3219674,20.189.173.25,192.168.31.42,6,54
1775492784.3254397,20.189.173.25,192.168.31.42,6,54
1775492784.3254397,20.189.173.25,192.168.31.42,6,54
1775492784.3254397,20.189.173.25,192.168.31.42,6,54
1775492784.3254397,20.189.173.25,192.168.31.42,6,54
1775492784.337121,20.189.173.25,192.168.31.42,6,66
1775492784.3381166,20.189.173.25,192.168.31.42,6,66
1775492784.3411143,20.189.173.25,192.168.31.42,6,66
1775492784.3411143,20.189.173.25,192.168.31.42,6,66
1775492784.3426456,20.189.173.25,192.168.31.42,6,149
1775492784.3426456,20.189.173.25,192.168.31.42,6,149
1775492784.3852384,192.168.31.42,20.189.173.25,6,54
1775492784.38623,192.168.31.42,20.189.173.25,6,54
1775492784.5385833,192.168.31.42,192.168.31.1,17,98
1775492784.5385833,192.168.31.42,192.168.31.1,17,98
1775492784.5385833,192.168.31.42,192.168.31.1,17,98
1775492784.5385833,192.168.31.42,192.168.31.1,17,98
1775492784.5724065,192.168.31.1,192.168.31.42,17,212
1775492784.5744083,192.168.31.1,192.168.31.42,17,212
1775492784.5759935,192.168.31.1,192.168.31.42,17,261
1775492784.5870934,192.168.31.1,192.168.31.42,17,261
1775492784.5870934,192.168.31.42,140.82.114.21,6,66
1775492784.591094,192.168.31.42,140.82.114.21,6,66
1775492784.8778398,140.82.114.21,192.168.31.42,6,66
1775492784.8778398,140.82.114.21,192.168.31.42,6,66
1775492784.888,192.168.31.42,140.82.114.21,6,54
1775492784.888,192.168.31.42,140.82.114.21,6,54
1775492784.891999,192.168.31.42,140.82.114.21,6,571
1775492784.8925953,192.168.31.42,140.82.114.21,6,571
1775492785.199169,140.82.114.21,192.168.31.42,6,1316
1775492785.203666,140.82.114.21,192.168.31.42,6,1316
1775492785.203666,140.82.114.21,192.168.31.42,6,1316
1775492785.2067525,192.168.31.42,140.82.114.21,6,54
1775492785.2067525,192.168.31.42,140.82.114.21,6,54
1775492785.2078037,140.82.114.21,192.168.31.42,6,1316
1775492785.2078037,140.82.114.21,192.168.31.42,6,1316
1775492785.2078037,140.82.114.21,192.168.31.42,6,364
1775492785.221711,192.168.31.42,140.82.114.21,6,54
1775492785.2237928,140.82.114.21,192.168.31.42,6,1316
1775492785.2237928,140.82.114.21,192.168.31.42,6,1316
1775492785.2237928,140.82.114.21,192.168.31.42,6,655
1775492785.2237928,140.82.114.21,192.168.31.42,6,655
1775492785.2349312,192.168.31.42,140.82.114.21,6,54
1775492785.2359269,192.168.31.42,140.82.114.21,6,54
1775492785.2389286,192.168.31.42,140.82.114.21,6,1336
1775492785.2389286,192.168.31.42,140.82.114.21,6,1336
1775492785.2419865,192.168.31.42,140.82.114.21,6,1336
1775492785.2419865,192.168.31.42,140.82.114.21,6,1336
1775492785.2419865,192.168.31.42,140.82.114.21,6,1336
1775492785.2419865,192.168.31.42,140.82.114.21,6,1336
1775492785.252827,192.168.31.42,140.82.114.21,6,235
1775492785.2538304,192.168.31.42,140.82.114.21,6,235
1775492785.519636,140.82.114.21,192.168.31.42,6,54
1775492785.519636,140.82.114.21,192.168.31.42,6,54
1775492785.52363,140.82.114.21,192.168.31.42,6,133
1775492785.5246308,140.82.114.21,192.168.31.42,6,133
1775492785.5276296,140.82.114.21,192.168.31.42,6,133
1775492785.5296297,140.82.114.21,192.168.31.42,6,133
1775492785.5316308,192.168.31.42,140.82.114.21,6,54
1775492785.5336304,192.168.31.42,140.82.114.21,6,54
1775492785.5366356,140.82.114.21,192.168.31.42,6,54
1775492785.5386338,140.82.114.21,192.168.31.42,6,54
1775492785.5436335,140.82.114.21,192.168.31.42,6,66
1775492785.5436335,140.82.114.21,192.168.31.42,6,66
1775492785.6034293,140.82.114.21,192.168.31.42,6,78
1775492785.6034293,140.82.114.21,192.168.31.42,6,78
1775492785.6034293,140.82.114.21,192.168.31.42,6,642
1775492785.6034293,140.82.114.21,192.168.31.42,6,642
1775492785.6034293,140.82.114.21,192.168.31.42,6,54
1775492785.619181,140.82.114.21,192.168.31.42,6,54
1775492785.6221855,192.168.31.42,140.82.114.21,6,66
1775492785.6236305,192.168.31.42,140.82.114.21,6,66
1775492785.6236305,192.168.31.42,140.82.114.21,6,54
1775492785.6236305,192.168.31.42,140.82.114.21,6,54
